OrderID,Region,VehicleType,WeatherCondition,Distance_Miles,OrderDate,Damaged_Flag,ExpectedDeliveryDate,ActualDeliveryDate
ORD-00031,North,Box Truck,Clear,1060,2023-10-08,No,2023-10-12,2023-10-15
ORD-00032,North,Van,Rain,1202,2022-02-25,No,2022-03-02,2022-03-02
ORD-00033,West,Box Truck,Rain,784,2022-02-19,No,2022-02-22,2022-02-22
ORD-00034,South,Van,Clear,594,2022-12-28,No,2022-12-30,2022-12-30
ORD-00035,South,Box Truck,Snow,1242,2022-12-23,No,2022-12-28,2023-01-01
ORD-00036,North,Van,Fog,889,2022-10-31,No,2022-11-03,2022-11-07
ORD-00037,West,Box Truck,Clear,907,2022-10-23,No,2022-10-27,2022-10-27
ORD-00038,North,Semi-Trailer,Rain,857,2022-06-09,No,2022-06-12,2022-06-12
ORD-00039,North,Van,Rain,734,2023-02-19,No,2023-02-22,2023-02-22
ORD-00040,East,Semi-Trailer,Rain,666,2022-11-20,No,2022-11-23,2022-11-24
ORD-00041,East,Box Truck,Clear,620,2022-05-30,No,2022-06-02,2022-06-03
ORD-00042,East,Van,Snow,1343,2022-11-30,No,2022-12-05,2022-12-08
ORD-00043,South,Van,Clear,1033,2023-05-16,No,2023-05-20,2023-05-20
ORD-00044,West,Van,Clear,956,2023-05-28,No,2023-06-01,2023-06-04
ORD-00045,West,Box Truck,Snow,189,2022-09-08,No,2022-09-09,2022-09-13
ORD-00046,West,Box Truck,Rain,656,2022-03-12,No,2022-03-15,2022-03-15
ORD-00047,West,Van,Snow,447,2022-08-08,No,2022-08-10,2022-08-14
ORD-00048,East,Box Truck,Clear,404,2022-12-31,No,2023-01-02,2023-01-02
ORD-00049,South,Semi-Trailer,Clear,603,2023-08-06,No,2023-08-09,2023-08-09
ORD-00050,South,Semi-Trailer,Fog,66,2022-06-28,No,2022-06-29,2022-07-02
ORD-00051,East,Box Truck,Clear,1207,2023-02-07,No,2023-02-12,2023-02-12
ORD-00052,South,Semi-Trailer,Snow,335,2022-02-23,No,2022-02-25,2022-02-27
ORD-00053,East,Box Truck,Snow,331,2022-11-11,No,2022-11-13,2022-11-15
ORD-00054,West,Van,Rain,192,2022-12-22,No,2022-12-23,2022-12-23
ORD-00055,East,Semi-Trailer,Clear,244,2023-03-25,No,2023-03-26,2023-03-26
ORD-00056,West,Van,Rain,628,2022-10-06,No,2022-10-09,2022-10-09
ORD-00057,West,Van,Snow,1219,2023-12-16,No,2023-12-21,2023-12-23
ORD-00058,North,Van,Clear,275,2023-02-19,No,2023-02-20,2023-02-20
ORD-00059,East,Semi-Trailer,Clear,1018,2022-02-25,No,2022-03-01,2022-03-01
ORD-00060,North,Semi-Trailer,Clear,851,2023-03-18,No,2023-03-21,2023-03-21
ORD-00061,East,Van,Clear,338,2023-05-03,No,2023-05-05,2023-05-05
ORD-00062,East,Van,Snow,1398,2022-09-15,No,2022-09-20,2022-09-21
ORD-00063,North,Van,Snow,692,2022-07-10,No,2022-07-13,2022-07-15
ORD-00064,North,Box Truck,Fog,33,2023-05-29,No,2023-05-30,2023-06-02
ORD-00065,East,Van,Clear,1294,2023-04-14,No,2023-04-19,2023-04-19
ORD-00066,South,Box Truck,Rain,1388,2023-12-14,No,2023-12-19,2023-12-20
ORD-00067,West,Van,Clear,205,2023-10-30,No,2023-10-31,2023-10-31
ORD-00068,North,Van,Rain,620,2023-10-23,,2023-10-26,2023-10-29
ORD-00069,West,Van,Rain,1366,2023-09-03,No,2023-09-08,2023-09-08
ORD-00070,South,Van,Fog,622,2022-10-23,No,2022-10-26,2022-10-27
ORD-00071,South,Semi-Trailer,Snow,641,2022-11-20,No,2022-11-23,2022-11-24
ORD-00072,South,Van,Fog,330,2023-08-08,No,2023-08-10,2023-08-14
ORD-00073,North,Van,Snow,1480,2022-01-11,No,2022-01-16,2022-01-17
ORD-00074,South,Van,Snow,1410,2022-10-30,No,2022-11-04,2022-11-05
ORD-00075,North,Van,Clear,212,2023-08-26,No,2023-08-27,2023-08-29
ORD-00076,South,Van,Snow,1123,2023-09-16,No,2023-09-20,2023-09-24
ORD-00077,West,Van,Rain,186,2022-02-11,No,2022-02-12,2022-02-13
ORD-00078,West,Box Truck,Clear,636,2023-01-03,No,2023-01-06,2023-01-06
ORD-00079,East,Box Truck,Clear,41,2022-01-11,No,2022-01-12,2022-01-13
ORD-00080,West,Van,Rain,955,2023-01-06,,2023-01-10,2023-01-12
ORD-00081,East,Van,Clear,736,2023-03-09,No,2023-03-12,2023-03-12
ORD-00082,West,Semi-Trailer,Clear,963,2022-09-29,No,2022-10-03,2022-10-03
ORD-00083,North,Van,Rain,829,2022-02-24,No,2022-02-27,2022-02-27
ORD-00084,West,Van,Fog,800,2022-08-18,No,2022-08-21,2022-08-23
ORD-00085,East,Van,Snow,252,2022-10-12,No,2022-10-13,2022-10-17
ORD-00086,East,Van,Clear,79,2022-08-27,No,2022-08-28,2022-08-28
ORD-00087,South,Box Truck,Clear,1024,2022-01-08,No,2022-01-12,2022-01-12
ORD-00088,North,Van,Clear,1104,2022-03-23,No,2022-03-27,2022-03-27
ORD-00089,West,Box Truck,Clear,167,2023-12-07,No,2023-12-08,2023-12-08
ORD-00090,South,Van,Clear,558,2022-03-02,No,2022-03-04,2022-03-04
ORD-00091,West,Van,Fog,335,2022-08-24,No,2022-08-26,2022-08-29
ORD-00092,West,Box Truck,Clear,1068,2023-01-07,No,2023-01-11,2023-01-11
ORD-00093,South,Van,Clear,469,2023-02-14,No,2023-02-16,2023-02-16
ORD-00094,South,Box Truck,Clear,425,2022-06-16,No,2022-06-18,2022-06-18
ORD-00095,South,Van,Clear,580,2023-10-23,No,2023-10-25,2023-10-25
ORD-00096,South,Box Truck,Clear,895,2023-05-02,No,2023-05-05,2023-05-05
ORD-00097,South,Van,Clear,1452,2023-07-27,No,2023-08-01,2023-08-01
ORD-00098,West,Semi-Trailer,Fog,520,2022-09-28,No,2022-09-30,2022-10-04
ORD-00099,South,Van,Clear,377,2022-03-24,No,2022-03-26,2022-03-26
ORD-00100,North,Semi-Trailer,Clear,921,2022-11-12,No,2022-11-16,2022-11-16
ORD-00101,East,Van,Clear,892,2023-07-15,No,2023-07-18,2023-07-18
ORD-00102,South,Box Truck,Clear,216,2022-12-01,No,2022-12-02,2022-12-02
ORD-00103,South,Van,Clear,1394,2023-10-20,No,2023-10-25,2023-10-25
ORD-00104,West,Semi-Trailer,Clear,1469,2023-03-09,No,2023-03-14,2023-03-14
ORD-00105,South,Van,Clear,587,2022-04-22,No,2022-04-24,2022-04-24
ORD-00106,South,Van,Rain,1303,2023-01-27,No,2023-02-01,2023-02-01
ORD-00107,South,Van,Clear,1266,2022-10-06,No,2022-10-11,2022-10-11
ORD-00108,West,Van,Clear,678,2022-03-05,No,2022-03-08,2022-03-08
ORD-00109,South,Van,Clear,115,2022-04-03,No,2022-04-04,2022-04-04
ORD-00110,East,Semi-Trailer,Clear,675,2022-05-10,Yes,2022-05-13,2022-05-13
ORD-00111,West,Semi-Trailer,Clear,1051,2023-05-30,No,2023-06-03,2023-06-03
ORD-00112,East,Van,Clear,269,2023-10-12,No,2023-10-13,2023-10-13
ORD-00113,West,Semi-Trailer,Clear,322,2023-11-03,No,2023-11-05,2023-11-06
ORD-00114,South,Box Truck,Clear,640,2022-01-19,No,2022-01-22,2022-01-22
ORD-00115,East,Van,Clear,1135,2023-06-23,No,2023-06-27,2023-06-27
ORD-00116,West,Box Truck,Clear,546,2022-09-27,No,2022-09-29,2022-09-30
ORD-00117,North,Box Truck,Clear,1213,2022-06-30,No,2022-07-05,2022-07-05
ORD-00118,South,Semi-Trailer,Fog,683,2022-09-26,No,2022-09-29,
ORD-00119,West,Van,Rain,1433,2023-04-16,No,2023-04-21,2023-04-24
ORD-00120,North,Box Truck,Snow,359,2022-08-31,No,2022-09-02,2022-09-03
ORD-00121,West,Van,Snow,224,2022-01-10,,2022-01-11,2022-01-13
ORD-00122,North,Van,Fog,1416,2023-05-23,No,2023-05-28,2023-05-31
ORD-00123,South,Van,Rain,1157,2022-02-13,No,2022-02-17,2022-02-17
ORD-00124,East,Semi-Trailer,Rain,1325,2023-02-06,No,2023-02-11,2023-02-11
ORD-00125,North,Semi-Trailer,Clear,337,2022-10-08,No,2022-10-10,2022-10-11
ORD-00126,West,Box Truck,Clear,856,2023-10-04,No,2023-10-07,2023-10-07
ORD-00127,South,Box Truck,Rain,107,2023-05-03,No,2023-05-04,2023-05-04
ORD-00128,North,Van,Fog,668,2023-01-02,No,2023-01-05,2023-01-09
ORD-00129,West,Van,Clear,309,2023-01-25,No,2023-01-27,2023-01-27
ORD-00130,West,Van,Rain,39,2022-04-01,No,2022-04-02,2022-04-04
ORD-00131,West,Van,Clear,1107,2023-12-21,No,2023-12-25,2023-12-25
ORD-00132,North,Box Truck,Clear,181,2023-04-27,No,2023-04-28,2023-04-30
ORD-00133,North,Box Truck,Clear,1027,2022-08-30,No,2022-09-03,2022-09-03
ORD-00134,North,Van,Clear,932,2022-10-05,No,2022-10-09,2022-10-09
ORD-00135,East,Van,Clear,93,2022-04-27,No,2022-04-28,2022-04-28
ORD-00136,North,Van,Rain,994,2023-10-01,No,2023-10-05,2023-10-05
ORD-00137,North,Van,Snow,1323,2023-12-18,No,2023-12-23,
ORD-00138,North,Semi-Trailer,Snow,648,2023-04-06,No,2023-04-09,2023-04-13
ORD-00139,East,Box Truck,Clear,94,2022-12-01,No,2022-12-02,2022-12-02
ORD-00140,North,Semi-Trailer,Snow,1287,2022-10-31,No,2022-11-05,2022-11-10
ORD-00141,West,Van,Clear,673,2023-09-22,No,2023-09-25,2023-09-25
ORD-00142,North,Van,Clear,528,2023-07-07,No,2023-07-09,2023-07-09
ORD-00143,West,Van,Rain,1485,2023-09-11,Yes,2023-09-16,2023-09-19
ORD-00144,West,Semi-Trailer,Clear,1340,2022-06-27,No,2022-07-02,
ORD-00145,West,Box Truck,Clear,193,2023-06-24,No,2023-06-25,2023-06-26
ORD-00146,East,Van,Clear,982,2022-12-29,No,2023-01-02,2023-01-02
ORD-00147,East,Box Truck,Rain,1347,2023-08-07,No,2023-08-12,2023-08-12
ORD-00148,East,Van,Clear,350,2022-10-02,No,2022-10-04,2022-10-04
ORD-00149,North,Box Truck,Rain,236,2023-12-25,No,2023-12-26,2023-12-26
ORD-00150,West,Semi-Trailer,Rain,846,2023-04-03,No,2023-04-06,2023-04-06
ORD-00151,East,Box Truck,Rain,273,2023-10-01,No,2023-10-02,2023-10-02
ORD-00152,East,Box Truck,Snow,459,2022-04-04,No,2022-04-06,2022-04-07
ORD-00153,North,Van,Clear,1284,2022-11-08,No,2022-11-13,2022-11-15
ORD-00154,East,Van,Clear,1441,2022-09-04,No,2022-09-09,2022-09-09
ORD-00155,North,Van,Clear,179,2022-05-11,No,2022-05-12,2022-05-12
ORD-00156,South,Van,Clear,575,2023-09-09,,2023-09-11,2023-09-12
ORD-00157,East,Box Truck,Rain,141,2022-11-05,No,2022-11-06,2022-11-06
ORD-00158,South,Box Truck,Clear,836,2023-06-26,No,2023-06-29,2023-06-29
ORD-00159,North,Van,Clear,615,2022-12-20,No,2022-12-23,2022-12-23
ORD-00160,West,Semi-Trailer,Rain,1079,2022-03-09,No,2022-03-13,2022-03-13
ORD-00161,East,Van,Rain,359,2023-07-06,No,2023-07-08,2023-07-08
ORD-00162,North,Van,Rain,108,2022-11-23,No,2022-11-24,2022-11-24
ORD-00163,West,Van,Snow,1070,2022-06-29,No,2022-07-03,2022-07-08
ORD-00164,West,Van,Rain,1471,2022-04-26,No,2022-05-01,2022-05-01
ORD-00165,South,Van,Rain,1018,2023-02-01,,2023-02-05,2023-02-07
ORD-00166,North,Van,Clear,84,2023-10-02,No,2023-10-03,2023-10-03
ORD-00167,West,Van,Fog,67,2023-03-29,No,2023-03-30,2023-04-01
ORD-00168,East,Semi-Trailer,Clear,1052,2022-12-24,,2022-12-28,2022-12-29
ORD-00169,East,Van,Clear,411,2023-01-22,No,2023-01-24,2023-01-24
ORD-00170,South,Van,Clear,197,2023-10-25,No,2023-10-26,2023-10-26
ORD-00171,West,Van,Rain,148,2023-01-27,No,2023-01-28,2023-01-28
ORD-00172,North,Box Truck,Fog,152,2023-11-29,No,2023-11-30,2023-12-01
ORD-00173,East,Van,Clear,117,2023-12-11,No,2023-12-12,2023-12-12
ORD-00174,West,Semi-Trailer,Clear,230,2023-08-24,No,2023-08-25,2023-08-25
ORD-00175,West,Box Truck,Snow,154,2023-06-01,Yes,2023-06-02,2023-06-06
ORD-00176,South,Box Truck,Fog,867,2022-12-06,No,2022-12-09,2022-12-13
ORD-00177,East,Box Truck,Clear,519,2022-11-07,No,2022-11-09,2022-11-12
ORD-00178,East,Van,Clear,385,2023-02-25,No,2023-02-27,2023-02-27
ORD-00179,North,Van,Rain,14,2022-06-22,No,2022-06-23,2022-06-24
ORD-00180,East,Van,Clear,397,2023-03-22,No,2023-03-24,2023-03-24
ORD-00181,North,Box Truck,Snow,577,2022-10-29,No,2022-10-31,2022-11-01
ORD-00182,East,Van,Clear,993,2022-06-20,No,2022-06-24,2022-06-24
ORD-00183,South,Van,Clear,569,2023-12-26,No,2023-12-28,2023-12-28
ORD-00184,East,Semi-Trailer,Clear,1196,2022-03-27,No,2022-03-31,2022-03-31
ORD-00185,North,Van,Clear,374,2023-05-01,No,2023-05-03,2023-05-03
ORD-00186,North,Semi-Trailer,Clear,426,2022-07-25,No,2022-07-27,2022-07-27
ORD-00187,South,Box Truck,Clear,30,2022-04-24,No,2022-04-25,2022-04-25
ORD-00188,East,Van,Rain,623,2023-01-06,No,2023-01-09,2023-01-09
ORD-00189,East,Van,Clear,526,2022-04-17,No,2022-04-19,2022-04-20
ORD-00190,South,Van,Fog,1230,2022-02-05,No,2022-02-10,2022-02-14
ORD-00191,East,Box Truck,Clear,670,2023-10-10,No,2023-10-13,2023-10-13
ORD-00192,East,Box Truck,Rain,1378,2023-09-25,No,2023-09-30,2023-10-03
ORD-00193,North,Box Truck,Clear,339,2022-08-06,No,2022-08-08,2022-08-08
ORD-00194,East,Semi-Trailer,Clear,387,2022-09-16,,2022-09-18,2022-09-18
ORD-00195,East,Box Truck,Clear,1244,2023-03-05,No,2023-03-10,2023-03-11
ORD-00196,South,Van,Clear,169,2022-05-04,No,2022-05-05,2022-05-05
ORD-00197,South,Van,Rain,667,2022-04-15,No,2022-04-18,2022-04-18
ORD-00198,West,Semi-Trailer,Rain,363,2023-10-13,No,2023-10-15,2023-10-15
ORD-00199,North,Van,Rain,1273,2023-06-25,Yes,2023-06-30,2023-06-30
ORD-00200,East,Van,Clear,88,2022-04-29,No,2022-04-30,2022-04-30
ORD-00201,East,Box Truck,Snow,161,2023-05-06,No,2023-05-07,2023-05-08
ORD-00202,West,Van,Rain,526,2022-04-08,No,2022-04-10,2022-04-10
ORD-00203,East,Semi-Trailer,Fog,392,2023-01-05,,2023-01-07,2023-01-11
ORD-00204,North,Box Truck,Snow,702,2022-01-11,No,2022-01-14,2022-01-19
ORD-00205,West,Van,Clear,361,2022-03-31,No,2022-04-02,2022-04-03
ORD-00206,North,Semi-Trailer,Clear,1234,2023-05-05,No,2023-05-10,2023-05-11
ORD-00207,West,Van,Clear,960,2023-02-04,No,2023-02-08,2023-02-08
ORD-00208,West,Van,Rain,142,2023-05-27,No,2023-05-28,2023-05-28
ORD-00209,South,Van,Clear,643,2022-07-08,No,2022-07-11,2022-07-11
ORD-00210,North,Van,Rain,178,2022-03-23,No,2022-03-24,2022-03-24
ORD-00211,East,Van,Clear,875,2022-04-30,No,2022-05-03,2022-05-03
ORD-00212,East,Van,Clear,400,2023-03-22,No,2023-03-24,2023-03-27
ORD-00213,North,Van,Clear,1418,2022-12-24,No,2022-12-29,2022-12-29
ORD-00214,East,Van,Clear,829,2023-12-22,No,2023-12-25,2023-12-28
ORD-00215,East,Box Truck,Rain,107,2022-10-25,No,2022-10-26,2022-10-26
ORD-00216,North,Semi-Trailer,Clear,1410,2023-06-02,No,2023-06-07,2023-06-07
ORD-00217,West,Van,Rain,1001,2022-02-04,No,2022-02-08,2022-02-08
ORD-00218,North,Van,Clear,789,2023-04-15,No,2023-04-18,2023-04-18
ORD-00219,West,Van,Clear,349,2022-05-29,No,2022-05-31,2022-05-31
ORD-00220,East,Van,Rain,141,2022-08-11,No,2022-08-12,2022-08-12
ORD-00221,East,Box Truck,Clear,219,2022-12-22,No,2022-12-23,2022-12-23
ORD-00222,East,Box Truck,Rain,1038,2023-12-29,No,2024-01-02,2024-01-02
ORD-00223,South,Van,Snow,386,2023-06-29,No,2023-07-01,2023-07-02
ORD-00224,West,Van,Snow,649,2022-02-03,No,2022-02-06,2022-02-09
ORD-00225,South,Van,Clear,1087,2023-11-05,No,2023-11-09,2023-11-09
ORD-00226,South,Box Truck,Clear,1231,2022-07-02,Yes,2022-07-07,2022-07-07
ORD-00227,North,Van,Rain,450,2022-08-07,No,2022-08-09,2022-08-09
ORD-00228,South,Semi-Trailer,Rain,1213,2023-03-02,No,2023-03-07,2023-03-08
ORD-00229,North,Box Truck,Rain,250,2023-02-09,No,2023-02-10,2023-02-11
ORD-00230,North,Van,Clear,1353,2023-07-02,Yes,2023-07-07,2023-07-07
ORD-00231,South,Box Truck,Clear,510,2023-05-14,No,2023-05-16,2023-05-17
ORD-00232,West,Semi-Trailer,Clear,32,2023-05-02,No,2023-05-03,2023-05-03
ORD-00233,West,Box Truck,Rain,641,2023-02-08,No,2023-02-11,2023-02-11
ORD-00234,West,Van,Clear,1026,2023-07-27,No,2023-07-31,2023-08-01
ORD-00235,West,Van,Clear,1213,2023-01-04,No,2023-01-09,2023-01-10
ORD-00236,West,Semi-Trailer,Rain,184,2023-08-12,No,2023-08-13,2023-08-13
ORD-00237,South,Box Truck,Clear,207,2023-11-11,No,2023-11-12,2023-11-12
ORD-00238,South,Box Truck,Clear,1487,2023-05-06,No,2023-05-11,2023-05-12
ORD-00239,East,Semi-Trailer,Clear,108,2023-10-21,No,2023-10-22,
ORD-00240,West,Semi-Trailer,Clear,754,2022-09-03,No,2022-09-06,2022-09-07
ORD-00241,South,Semi-Trailer,Clear,1460,2022-10-22,No,2022-10-27,2022-10-27
ORD-00242,East,Van,Clear,462,2022-12-21,No,2022-12-23,2022-12-23
ORD-00243,West,Box Truck,Clear,1224,2022-10-26,No,2022-10-31,2022-10-31
ORD-00244,North,Box Truck,Clear,983,2023-11-15,No,2023-11-19,2023-11-19
ORD-00245,East,Box Truck,Clear,508,2023-07-09,No,2023-07-11,2023-07-11
ORD-00246,South,Box Truck,Rain,1224,2022-10-08,No,2022-10-13,2022-10-13
ORD-00247,North,Van,Clear,150,2022-04-15,,2022-04-16,
ORD-00248,North,Box Truck,Clear,782,2022-01-12,No,2022-01-15,2022-01-15
ORD-00249,North,Box Truck,Clear,184,2022-01-26,No,2022-01-27,2022-01-27
ORD-00250,East,Van,Clear,429,2023-01-30,No,2023-02-01,2023-02-01
ORD-00251,South,Van,Clear,685,2022-10-19,No,2022-10-22,2022-10-22
ORD-00252,North,Van,Clear,1467,2023-09-17,No,2023-09-22,2023-09-22
ORD-00253,West,Van,Rain,1473,2022-03-19,,2022-03-24,2022-03-24
ORD-00254,North,Van,Clear,541,2023-04-03,No,2023-04-05,2023-04-08
ORD-00255,North,Van,Snow,927,2022-11-20,No,2022-11-24,2022-11-26
ORD-00256,East,Box Truck,Clear,370,2023-02-11,No,2023-02-13,2023-02-13
ORD-00257,East,Box Truck,Clear,455,2022-09-18,No,2022-09-20,2022-09-20
ORD-00258,South,Box Truck,Clear,565,2022-12-01,No,2022-12-03,2022-12-03
ORD-00259,West,Semi-Trailer,Rain,717,2022-03-26,No,2022-03-29,2022-03-30
ORD-00260,East,Van,Clear,1390,2022-06-06,,2022-06-11,2022-06-11
ORD-00261,North,Van,Clear,570,2023-09-21,No,2023-09-23,2023-09-23
ORD-00262,South,Semi-Trailer,Clear,1006,2022-04-08,No,2022-04-12,2022-04-12
ORD-00263,North,Van,Clear,68,2022-08-20,No,2022-08-21,2022-08-21
ORD-00264,North,Semi-Trailer,Fog,894,2022-11-20,No,2022-11-23,2022-11-25
ORD-00265,East,Semi-Trailer,Clear,1200,2023-01-26,,2023-01-31,2023-01-31
ORD-00266,South,Box Truck,Rain,976,2022-11-12,No,2022-11-16,2022-11-16
ORD-00267,West,Semi-Trailer,Rain,954,2023-08-23,,2023-08-27,2023-08-27
ORD-00268,West,Van,Clear,272,2023-03-31,No,2023-04-01,2023-04-01
ORD-00269,East,Van,Clear,1464,2023-02-26,Yes,2023-03-03,2023-03-05
ORD-00270,East,Box Truck,Rain,205,2023-02-28,No,2023-03-01,2023-03-01
ORD-00271,South,Van,Clear,363,2023-07-16,No,2023-07-18,2023-07-18
ORD-00272,West,Semi-Trailer,Clear,895,2022-10-04,No,2022-10-07,2022-10-07
ORD-00273,West,Van,Rain,950,2022-11-29,No,2022-12-03,2022-12-03
ORD-00274,West,Box Truck,Rain,924,2022-12-21,No,2022-12-25,2022-12-27
ORD-00275,North,Box Truck,Rain,56,2023-10-21,No,2023-10-22,2023-10-22
ORD-00276,West,Box Truck,Rain,762,2023-08-19,No,2023-08-22,2023-08-22
ORD-00277,North,Van,Clear,1342,2023-12-15,No,2023-12-20,2023-12-20
ORD-00278,South,Van,Clear,239,2023-05-06,,2023-05-07,2023-05-07
ORD-00279,North,Semi-Trailer,Clear,1444,2022-12-13,No,2022-12-18,2022-12-18
ORD-00280,South,Van,Rain,766,2022-04-15,No,2022-04-18,2022-04-18
ORD-00281,West,Semi-Trailer,Fog,325,2023-08-25,No,2023-08-27,2023-08-29
ORD-00282,West,Box Truck,Clear,771,2023-05-13,No,2023-05-16,2023-05-19
ORD-00283,South,Box Truck,Clear,1110,2022-05-08,No,2022-05-12,2022-05-12
ORD-00284,East,Box Truck,Clear,71,2023-04-06,No,2023-04-07,2023-04-07
ORD-00285,South,Van,Snow,247,2023-01-19,No,2023-01-20,2023-01-22
ORD-00286,East,Box Truck,Clear,87,2022-12-23,No,2022-12-24,2022-12-24
ORD-00287,North,Semi-Trailer,Clear,743,2023-02-08,No,2023-02-11,2023-02-11
ORD-00288,North,Van,Fog,568,2023-03-05,No,2023-03-07,2023-03-09
ORD-00289,North,Semi-Trailer,Snow,953,2022-09-22,No,2022-09-26,2022-09-27
ORD-00290,West,Van,Clear,659,2023-10-08,No,2023-10-11,2023-10-14
ORD-00291,North,Van,Fog,1449,2022-02-03,No,2022-02-08,2022-02-09
ORD-00292,East,Van,Clear,1057,2022-12-27,No,2022-12-31,2022-12-31
ORD-00293,North,Semi-Trailer,Clear,1062,2022-03-20,No,2022-03-24,2022-03-24
ORD-00294,South,Van,Clear,1168,2023-07-04,No,2023-07-08,2023-07-09
ORD-00295,South,Semi-Trailer,Snow,360,2022-11-10,No,2022-11-12,2022-11-15
ORD-00296,West,Semi-Trailer,Rain,922,2023-04-18,No,2023-04-22,2023-04-22
ORD-00297,South,Van,Clear,359,2023-12-23,No,2023-12-25,2023-12-25
ORD-00298,East,Van,Fog,1314,2023-06-06,No,2023-06-11,2023-06-15
ORD-00299,North,Box Truck,Clear,485,2022-03-19,No,2022-03-21,2022-03-21
ORD-00300,West,Van,Rain,301,2023-03-20,No,2023-03-22,2023-03-22
ORD-00301,North,Box Truck,Rain,1222,2023-06-12,No,2023-06-17,2023-06-17
ORD-00302,North,Van,Clear,1452,2022-06-17,No,2022-06-22,2022-06-22
ORD-00303,East,Van,Clear,897,2022-02-14,No,2022-02-17,2022-02-17
ORD-00304,South,Box Truck,Snow,477,2023-12-26,,2023-12-28,2024-01-01
ORD-00305,South,Van,Clear,1239,2023-02-10,No,2023-02-15,2023-02-15
ORD-00306,North,Van,Rain,1275,2022-05-09,No,2022-05-14,2022-05-14
ORD-00307,West,Van,Clear,315,2023-05-31,No,2023-06-02,2023-06-02
ORD-00308,South,Van,Rain,1217,2023-11-28,No,2023-12-03,2023-12-04
ORD-00309,West,Box Truck,Clear,487,2022-09-06,No,2022-09-08,2022-09-08
ORD-00310,South,Semi-Trailer,Clear,1161,2022-01-14,No,2022-01-18,2022-01-18
ORD-00311,West,Van,Clear,458,2022-09-22,No,2022-09-24,2022-09-24
ORD-00312,East,Box Truck,Snow,239,2023-02-12,,2023-02-13,2023-02-18
ORD-00313,West,Box Truck,Clear,1074,2023-12-27,No,2023-12-31,2023-12-31
ORD-00314,East,Van,Clear,802,2022-02-06,No,2022-02-09,2022-02-09
ORD-00315,East,Van,Fog,683,2022-09-01,No,2022-09-04,2022-09-05
ORD-00316,West,Semi-Trailer,Rain,1425,2023-02-25,No,2023-03-02,2023-03-02
ORD-00317,East,Box Truck,Clear,833,2023-02-09,No,2023-02-12,2023-02-12
ORD-00318,North,Box Truck,Fog,1373,2022-05-19,Yes,2022-05-24,2022-05-28
ORD-00319,East,Box Truck,Rain,845,2023-09-13,No,2023-09-16,
ORD-00320,South,Van,Clear,1054,2023-02-21,Yes,2023-02-25,2023-02-26
